folder,is_truth,pix_scale,dt1_sec,dt2_sec,f1_x,f1_y,f2_x,f2_y,f3_x,f3_y,disp12_px,disp23_px,total_disp_px,angle_change_deg,score,residual_px,cross_track_px,vel_ratio,r_pred_px,f1,f2,f3,snr1,snr2,snr3,gmag1,gmag2,gmag3,gmag_mean,gmag_std,snr_mean,snr_std,snr_cv,gb_confidence
20230920_C9JNFD2,False,1.1805488892756,176.3969994848594,178.07500034105033,17.12114278662756,261.2672830009622,113.5757335705816,241.98805504005972,211.68561021067688,222.45398814574372,98.36247614852157,100.03563197064494,198.3981081191665,0.0426948669354569,0.0402436932791452,0.7411993543178046,0.0745431450069205,1.0074268157815416,10.806851019734932,"(17.12114278662756, 261.2672830009622)","(113.5757335705816, 241.98805504005978)","(211.68561021067686, 222.45398814574378)",29.661706121771896,57.252103261956165,16.194514701110368,17.668511341215172,17.157656303479303,18.38332274721588,17.736496797303452,0.5026801995338681,34.36944136161281,20.92972701504379,0.6089632588099084,2.0924987e-05
20230920_C9JNFD2,False,1.1805488892756,176.3969994848594,178.07500034105033,511.1212174498427,6.871824302042029,507.7796894473632,5.559815694367416,505.270148858574,4.778407029558025,3.589871303816735,2.628382291109814,6.218253594926549,4.141532247834137,0.0713591090441119,1.0203148269355666,0.189822938286134,0.725266958769133,10.806851019734932,"(511.1212174498427, 6.871824302042029)","(507.7796894473632, 5.5598156943674155)","(505.270148858574, 4.778407029558025)",1.63386452438435,0.8086173330977305,4.872412336333832,19.55543855810781,18.90733543795076,18.858443375225587,19.10707245709472,0.3176704045103373,2.438298064605304,2.1480089495986716,0.8809460093413057,0.039493002
20230920_C9JNFD2,False,1.1805488892756,176.3969994848594,178.07500034105033,509.637012150437,89.45503410641163,509.7616963169979,219.11894824069003,509.9921702597261,351.50900664926127,129.66397408209772,132.39025902105934,262.05423310315706,0.0446491137092914,0.0795552962090519,1.4963590202775403,0.1031682818699089,1.0114046437611492,10.806851019734932,"(509.63701215043704, 89.45503410641163)","(509.7616963169979, 219.11894824069003)","(509.9921702597261, 351.50900664926127)",6.886785577434589,3.4869128211008804,6.497633956461765,18.561736443950792,18.855423608337222,19.32606257848406,18.91440754359069,0.314809930430125,5.623777451665745,1.8607801006690126,0.33087726473206286,9.371944e-05
20230920_C9JNFD2,False,1.1805488892756,176.3969994848594,178.07500034105033,12.195927725509648,197.59818225552783,12.903613932526696,198.1233129145134,12.565114303042948,198.394071244791,0.8812388873675511,0.433465191884366,1.3147040792519171,104.7676115735409,0.081875739987645,1.0843926870156773,0.4191468108868657,0.4872465970633376,10.806851019734932,"(12.195927725509648, 197.59818225552783)","(12.903613932526696, 198.1233129145134)","(12.565114303042947, 198.394071244791)",5.661384014815215,6.299121777031799,7.0866472318387945,19.03685334820084,18.85631458829344,18.93629987682592,18.9431559377734,0.0738639070002486,6.3490510078952695,0.713942228419824,0.11244865217368889,2.8361097e-05
20230920_C9JNFD2,False,1.1805488892756,176.3969994848594,178.07500034105033,207.09368630694016,113.56583634939516,207.73362575753896,112.94404342611604,207.62982265378344,113.32342654974838,0.8922717858773114,0.3933276482098514,1.2855994340871628,149.47821114112074,0.0868738031245055,1.2555784670084402,0.1997577365946872,0.4366621557074209,10.806851019734932,"(207.09368630694016, 113.56583634939517)","(207.73362575753896, 112.94404342611605)","(207.62982265378346, 113.32342654974838)",3.9033160194836536,5.445907934338009,3.08553724511178,18.9628143340471,18.780590168833506,19.24114782974303,18.994850777541213,0.1893816077649003,4.144920399644481,1.198589569045321,0.2891707085974743,5.8387486e-06
20230920_C9JNFD2,False,1.1805488892756,176.3969994848594,178.07500034105033,511.745340750472,218.8597888114668,510.4785652578413,115.50506882266288,508.81016551220114,9.42519336423726,103.3624828654613,106.09299474982475,209.45547761528604,0.198845278441304,0.1021820570248303,1.7850098137266328,0.3681955095593472,1.0167449297908489,10.806851019734932,"(511.745340750472, 218.85978881146673)","(510.47856525784124, 115.50506882266288)","(508.81016551220114, 9.42519336423726)",3.3862435992107662,2.366838033890504,4.618898884471892,19.072228920223388,18.59609982373825,18.818968428929484,18.829099057630373,0.1945108417858244,3.4573268391910545,1.1277119042268342,0.32618029960126543,0.00043590638
20230920_C9JNFD2,False,1.1805488892756,176.3969994848594,178.07500034105033,510.8303240998839,201.21427969175963,509.6659101824757,101.66494396321932,509.03861822942577,-0.4709703959957778,99.55614548466954,102.13784067223705,201.6939861569066,0.3182585318832565,0.1050996794313318,1.728819192072204,0.5673379843918873,1.016264693993792,10.806851019734932,"(510.8303240998839, 201.21427969175963)","(509.6659101824757, 101.66494396321932)","(509.03861822942577, -0.47097039599577784)",9.33312383187574,1.494747279974377,,18.3422618095322,18.780793322600644,20.19948379978817,19.107512977307007,0.7926233573188752,5.413935555925058,5.542569213343082,1.023759731915768,3.773226e-06
20230920_C9JNFD2,False,1.1805488892756,176.3969994848594,178.07500034105033,381.1729418905426,190.0597255876609,379.68069241689375,189.98086747285373,379.59442419130266,189.55265718959447,1.494331654578776,0.436813751426865,1.9311454060056408,75.58454039520369,0.1064651542839521,1.462335322566289,0.4230611178112108,0.289559318245998,10.806851019734932,"(381.1729418905426, 190.05972558766092)","(379.68069241689375, 189.98086747285373)","(379.59442419130266, 189.55265718959447)",7.027197310921606,6.35549198920338,8.02272236511904,18.748689953789253,18.69138957441037,19.000430721948188,18.813503416715932,0.1342316317670925,7.13513722174801,0.8388400025367635,0.11756466294438825,1.8117393e-05
20230920_C9JNFD2,False,1.1805488892756,176.3969994848594,178.07500034105033,10.65281886740567,329.28152521672445,11.826619030900588,328.3553926967644,13.469439565143604,328.4940517179372,1.495168307699252,1.6486617700071458,3.1438300777063977,43.09806837088936,0.1068713310989041,1.167155034351284,1.1264467647357448,1.092269292061548,10.806851019734932,"(10.65281886740567, 329.28152521672445)","(11.826619030900588, 328.3553926967644)","(13.469439565143603, 328.49405171793717)",9.937556354906391,8.26648608179029,14.754109850809378,18.507731627991816,18.48532667793755,18.56105077856251,18.51803636149729,0.0317613549598557,10.98605076250202,3.3685042577017534,0.30661648398706226,0.001720317
20230920_C9JNFD2,False,1.1805488892756,176.3969994848594,178.07500034105033,444.9298057703313,286.602548800999,356.46248479499667,178.1168612381287,265.56672320110204,68.77360694991438,139.98432514585906,142.18996706544112,282.1742922113002,0.5399797374921961,0.1135156163901791,1.5964396012373865,1.3400387455227474,1.0061848764626655,11.252010821871629,"(444.9298057703313, 286.602548800999)","(356.46248479499667, 178.1168612381287)","(265.56672320110204, 68.77360694991438)",303.90612158566626,18.553496758868302,5.387652007091612,15.912128902623436,17.972695877086608,19.068912815335256,17.6512458650151,1.308642744878478,109.28242345054205,168.67757045277517,1.5435013712805663,1.0161301e-05
