folder,f1_x,f1_y,f2_x,f2_y,f3_x,f3_y,cnn_prob
sample,225.63696682852813,235.85904698557923,235.44518734264105,261.9842848892156,246.0414142478203,289.9302005318444,0.8608747
sample,347.3030614092485,67.19443519199186,278.3718211676021,174.80642847622113,204.3929303772498,290.4368116928476,0.14151374
sample,507.80913076748834,360.3846742776352,477.8208536776216,346.5790945210216,445.7865359179712,332.0352538245394,0.011255596
sample,97.42426902997022,258.1737407698294,151.43251007933904,241.14581310440693,209.8195487524136,223.08128903230045,0.004786214
sample,357.39901051308675,179.4947648001425,239.0683678065133,183.3410216397712,112.20108184868248,187.30722385694185,0.15043756
sample,182.9529784578517,395.7761455008957,214.7089107072548,270.3545850235955,249.143031508528,135.76460157108244,0.74576765
sample,65.36411792530228,227.2156123962093,130.96352000526633,165.7127644663032,201.2725221169682,99.1457013519664,0.089037485
sample,238.9779016178604,318.6989232346642,226.41831260850688,246.32266078261088,213.0433304303394,169.31477096764218,0.82608646
sample,383.8443199630153,263.0510941380361,383.38563262249625,263.7231738074544,383.45369907560905,263.6350519052185,0.08352395
sample,348.40854425400585,397.960081466072,349.4262042587293,397.9913604306598,349.5629022803377,398.1059995186528,0.040918767
sample,204.5357009840216,290.3098018109296,350.9417948428922,267.48820126055017,507.3425708647285,242.7658694493573,0.109262206
sample,395.0513071315854,207.8062507711292,335.96816981830926,187.5043716387321,273.3964291899482,166.25801769123473,0.17615116
sample,361.3745001652287,74.03834443909628,235.80668580115577,141.23122284589476,99.48637563405566,214.35470860084985,0.4238081
sample,496.3690556364685,357.30868087872256,495.7869708191282,357.9334561547216,495.96750058364034,357.9574920978502,0.08090044
sample,168.78539444301524,89.37616438861178,227.96962422250925,109.48550239649666,292.1934315322652,131.9977461496182,0.07574589
sample,261.22307878290815,260.74843948239305,334.0558220339902,135.99305702185978,412.2730593445725,0.4502869864979573,0.019795122
sample,142.9751216357271,238.5985460843294,142.38214122028535,239.56491071921897,142.6621314268412,240.1123186286009,0.003397418
sample,209.82457237273223,223.1067985180816,267.4380199235215,140.37837299969485,329.3574055368552,52.574771568701976,0.053885903
sample,122.14345890192185,293.1464644720476,170.66328792068995,217.5241776787962,221.86856525758387,137.18324709464446,0.018737257
sample,250.36041427552448,6.948607134078202,199.72682852987657,145.3992565846201,144.37332684150874,293.4980853428633,0.0050142924
sample,246.5777234971962,280.40060381789334,246.0393560310713,281.11707439332247,246.03416228790064,280.76220120101607,0.85691214
sample,227.7865243057656,406.38253353593086,199.2462526945112,382.2945638104443,167.826746967647,357.113071415244,0.00674336
sample,119.7124055509638,202.63115744348664,215.2790632277438,262.3599975134133,316.85152882117933,327.1499891095203,0.78052366
sample,208.49777460702808,82.31678735560334,292.52268823998736,42.89140058800976,381.1996357463053,0.9697742209919512,0.008074786
sample,374.7207443558693,436.1548567802726,374.93951279963295,436.9324628726579,374.2568223812354,436.6947184058413,0.03290939
sample,372.3305360268747,106.20201927229076,401.0505362658437,241.70868081449828,431.723556717366,389.48826344756674,0.00254607
sample,329.7514995300912,53.98411583556191,386.8266023149058,34.169989334939515,446.745701783623,13.95647550626785,0.020852674
sample,273.2028634740752,166.80534691090855,305.7424063477896,305.7574946173521,341.6328571802106,457.5278497148272,0.1587761
sample,197.72833094855835,179.37496596163703,273.406250234458,166.55945712489404,356.9861436826013,152.86877600377582,0.05757456
sample,356.9889342457102,153.3176305664225,221.9157970453016,137.15426895506124,78.13347670803736,120.80923935865108,0.04626038
sample,201.4127310638268,99.32663249374625,213.0640122660334,169.37973413563347,226.9674347514942,245.80931680225004,0.12347722
