folder,pix_scale,dt1_sec,dt2_sec,f1_x,f1_y,f2_x,f2_y,f3_x,f3_y,disp12_px,disp23_px,total_disp_px,angle_change_deg,score,residual_px,cross_track_px,vel_ratio,r_pred_px,f1,f2,f3,snr1,snr2,snr3,gmag1,gmag2,gmag3,gmag_mean,gmag_std,f1_snr,f2_snr,f3_snr,gmag,gmag1_disp,gmag2_disp,gmag3_disp,gmag_mean_disp,snr_mean,snr_std,snr_cv,gb_confidence
sample,1.1801444235588,193.0280002299696,207.8269996214658,225.63696682852813,235.85904698557923,235.44518734264105,261.9842848892156,246.0414142478203,289.9302005318444,27.905720653211286,29.887358962125944,57.793079615337234,0.1874930863065892,0.0134564333293018,0.1858097339780315,0.0978023725292125,0.9947470064136584,11.189622790297811,"(225.63696682852813, 235.85904698557923)","(235.44518734264102, 261.9842848892156)","(246.0414142478203, 289.9302005318444)",23.85639652144132,25.22551377545878,34.688382115790006,18.547917805607216,18.47236167297989,18.424120102858762,18.481466527148623,0.0509486118785331,23.85639652144132,25.22551377545878,34.688382115790006,18.481466527148623,18.5,18.5,18.4,18.5,27.923430804230037,5.898478210491652,0.21123758938669204,0.99972266
sample,1.1801444235588,193.0280002299696,207.8269996214658,347.3030614092485,67.19443519199186,278.3718211676021,174.80642847622113,204.3929303772498,290.4368116928476,127.79615401042624,137.2707609266983,265.0669149371245,0.0311251743016163,0.0184004129727484,0.3317317085942169,0.0745705213634266,0.9976509045737044,11.189622790297811,"(347.3030614092485, 67.19443519199186)","(278.3718211676021, 174.80642847622113)","(204.3929303772498, 290.4368116928476)",6.301708432228041,2.452005486120885,9.199147395400837,19.91806608221645,20.470788225223902,19.72894911326956,20.039267806903307,0.3147472113263836,6.301708432228041,2.452005486120885,9.199147395400837,20.039267806903307,19.9,20.5,19.7,20.0,5.984287104583255,3.38475231153231,0.565606604826829,1.4584659e-05
sample,1.1801444235588,193.0280002299696,207.8269996214658,507.80913076748834,360.3846742776352,477.8208536776216,346.5790945210216,445.7865359179712,332.0352538245394,33.0134941385314,35.18125660818425,68.19475074671564,0.3012955147035792,0.0277206615904944,0.4081294033004939,0.1850032594835191,0.9897789171054492,11.189622790297811,"(507.80913076748834, 360.3846742776352)","(477.8208536776216, 346.5790945210216)","(445.78653591797115, 332.0352538245394)",146.3715379992614,2.4282419954594356,5.724126569812017,16.5648286918996,20.97303056184856,20.00553219840942,19.181130484052527,1.8916993368452815,146.3715379992614,2.4282419954594356,5.724126569812017,19.181130484052527,16.6,21.0,20.0,19.2,51.507968854844286,82.17078724762877,1.5953024177520188,6.6836405e-06
sample,1.1801444235588,193.0280002299696,207.8269996214658,97.42426902997022,258.1737407698294,151.43251007933904,241.14581310440695,209.81954875241357,223.08128903230045,56.62897157661956,61.11770050454135,117.74667208116092,0.3075367142622115,0.0281793143673985,0.3591690289168281,0.3280494078855653,1.002412964741085,11.189622790297811,"(97.42426902997022, 258.1737407698294)","(151.43251007933904, 241.14581310440698)","(209.81954875241354, 223.08128903230045)",30.876639281341784,32.845869435063975,759.8150210137254,18.387617870625046,18.197800557018386,15.068918738621527,17.218112388754985,1.521683861706432,30.876639281341784,32.845869435063975,759.8150210137254,17.218112388754985,18.4,18.2,15.1,17.2,274.5125099100437,420.28545648107297,1.5310247850591518,4.4599044e-05
sample,1.1801444235588,193.0280002299696,207.8269996214658,357.39901051308675,179.4947648001425,239.0683678065133,183.3410216397712,112.20108184868248,187.30722385694185,118.39313618207404,126.92926772944652,245.32240391152052,0.0710724894585475,0.0321306114936164,0.563337692908052,0.157449236328488,0.9957575160915606,11.189622790297811,"(357.39901051308675, 179.4947648001425)","(239.06836780651332, 183.3410216397712)","(112.20108184868249, 187.30722385694185)",1.9854137663277802,3.918899106927612,4.831347118295129,20.07548311419979,20.106873310757766,20.449453560508378,20.210603328488645,0.1693780999458453,1.9854137663277802,3.918899106927612,4.831347118295129,20.210603328488645,20.1,20.1,20.4,20.2,3.5785533305168404,1.453172596975499,0.4060782284794457,9.098019e-06
sample,1.1801444235588,193.0280002299696,207.8269996214658,182.9529784578517,395.7761455008957,214.7089107072548,270.3545850235955,249.143031508528,135.76460157108244,129.37931467429308,138.92506009033943,268.3043747646325,0.1426520904141055,0.0343243262661648,0.5093454820135819,0.3458881252070043,0.9973189946950168,11.189622790297811,"(182.9529784578517, 395.7761455008957)","(214.7089107072548, 270.3545850235955)","(249.143031508528, 135.76460157108244)",4.571785225340388,7.687951330115149,13.8225207304203,20.076199849399757,19.60986208024458,19.039692321454805,19.575251417033048,0.4238595580123173,4.571785225340388,7.687951330115149,13.8225207304203,19.575251417033048,20.1,19.6,19.0,19.6,8.694085761958613,4.7067246273223,0.5413708532663433,5.963768e-05
sample,1.1801444235588,193.0280002299696,207.8269996214658,65.36411792530228,227.2156123962093,130.96352000526633,165.7127644663032,201.2725221169682,99.1457013519664,89.92153166365634,96.82215484903956,186.7436865126959,0.2800550385559271,0.0366406122920339,0.4732841921033767,0.4732534327757207,1.0000676794294063,11.189622790297811,"(65.36411792530228, 227.21561239620934)","(130.96352000526633, 165.7127644663032)","(201.2725221169682, 99.14570135196641)",8.577553043234516,5.683236830252523,11.724154408004281,19.78761975526861,20.051448659616007,19.31439758304882,19.717821999311145,0.30492060979839314,8.577553043234516,5.683236830252523,11.724154408004281,19.717821999311145,19.8,20.1,19.3,19.7,8.66164809383044,3.0213366708211438,0.3488177582477861,4.2063013e-05
sample,1.1801444235588,193.0280002299696,207.8269996214658,238.9779016178604,318.6989232346642,226.41831260850688,246.32266078261088,213.0433304303394,169.31477096764218,73.45792430100634,78.16076536230092,151.61868966330726,0.0084201775196175,0.0465981899641675,0.9290757864376784,0.0114864920705102,0.9882538039725572,11.189622790297811,"(238.97790161786037, 318.6989232346642)","(226.41831260850688, 246.32266078261088)","(213.0433304303394, 169.31477096764218)",42.368371763404056,14.0339406359666,9.840046851482505,17.77685578322682,19.042080139918554,19.586100939044172,18.80167895406318,0.7579298806981373,42.368371763404056,14.0339406359666,9.840046851482505,18.80167895406318,17.8,19.0,19.6,18.8,22.080786416951053,17.69425826818108,0.8013418514205406,1.5935891e-05
sample,1.1801444235588,193.0280002299696,207.8269996214658,383.8443199630153,263.0510941380361,383.38563262249625,263.7231738074544,383.45369907560905,263.6350519052185,0.8136861547291128,0.1113486043604651,0.925034759089578,176.63018337263782,0.0619356587421964,0.9872473154611364,0.0065451259033109,0.1271001886815898,11.189622790297811,"(383.8443199630153, 263.0510941380361)","(383.38563262249625, 263.7231738074544)","(383.45369907560905, 263.6350519052185)",3.6488755660442593,5.208060991632291,9.234903129220921,20.508314297395838,20.020981949307313,19.701227807177638,20.0768413512936,0.3318507247401881,3.6488755660442593,5.208060991632291,9.234903129220921,20.0768413512936,20.5,20.0,19.7,20.1,6.030613228965824,2.8824243479229685,0.4779653807142377,0.00022380396
sample,1.1801444235588,193.0280002299696,207.8269996214658,348.40854425400585,397.960081466072,349.4262042587293,397.9913604306598,349.5629022803377,398.1059995186528,1.0181405889362218,0.1784053519587083,1.1965459408949302,38.22371436829018,0.0631649698215299,0.9623950999478502,0.1103853863332323,0.1627490532803092,11.189622790297811,"(348.40854425400585, 397.960081466072)","(349.4262042587293, 397.9913604306598)","(349.5629022803377, 398.10599951865277)",3.616594666456498,5.845450793067763,7.150420374888142,21.35064972916866,19.94429368555092,19.98684208782186,20.42726183418048,0.6531648567255577,3.616594666456498,5.845450793067763,7.150420374888142,20.42726183418048,21.4,19.9,20.0,20.4,5.537488611470802,1.7869279681519268,0.3226964592668127,0.00065747945
